iter	Passed	Remaining
0	135	135684
1	137	68422
2	138	46019
3	140	34965
4	141	28170
5	143	23794
6	144	20565
7	146	18106
8	147	16207
9	148	14686
10	149	13450
11	150	12419
12	152	11601
13	154	10887
14	155	10223
15	156	9642
16	158	9162
17	159	8702
18	160	8289
19	161	7919
20	162	7584
21	164	7295
22	165	7020
23	166	6765
24	167	6534
25	168	6323
26	169	6120
27	170	5933
28	171	5757
29	173	5594
30	174	5445
31	175	5302
32	176	5168
33	177	5041
34	178	4921
35	179	4808
36	180	4702
37	181	4601
38	182	4504
39	183	4413
40	184	4326
41	191	4370
42	192	4288
43	193	4209
44	194	4134
45	195	4062
46	205	4162
47	206	4092
48	209	4058
49	210	3995
50	211	3933
51	212	3872
52	213	3814
53	214	3758
54	219	3775
55	220	3722
56	221	3670
57	222	3620
58	229	3656
59	230	3610
60	232	3576
61	233	3531
62	234	3491
63	235	3448
64	236	3407
65	242	3426
66	243	3386
67	243	3340
68	244	3303
69	246	3268
70	251	3294
71	253	3268
72	254	3233
73	255	3199
74	261	3227
75	262	3194
76	263	3162
77	264	3131
78	270	3151
79	271	3126
80	272	3096
81	273	3067
82	275	3038
83	277	3020
84	277	2989
85	279	2968
86	280	2938
87	281	2913
88	282	2889
89	287	2907
90	289	2892
91	290	2868
92	291	2844
93	292	2822
94	293	2799
95	294	2777
96	296	2755
97	297	2734
98	298	2713
99	299	2692
100	300	2672
101	300	2648
102	301	2629
103	302	2610
104	304	2591
105	305	2573
106	306	2555
107	307	2536
108	308	2519
109	309	2502
110	310	2485
111	311	2471
112	312	2455
113	313	2438
114	315	2425
115	316	2408
116	323	2442
117	324	2427
118	325	2409
119	326	2394
120	327	2380
121	328	2365
122	329	2347
123	330	2333
124	331	2319
125	332	2305
126	333	2291
127	334	2275
128	335	2262
129	336	2252
130	337	2240
131	338	2227
132	339	2215
133	340	2203
134	341	2191
135	343	2179
136	344	2169
137	345	2156
138	346	2144
139	347	2133
140	348	2122
141	349	2111
142	350	2100
143	351	2091
144	352	2080
145	353	2070
146	354	2059
147	356	2049
148	357	2039
149	358	2029
150	359	2019
151	360	2009
152	361	2000
153	362	1990
154	363	1981
155	364	1972
156	365	1963
157	366	1954
158	367	1945
159	368	1936
160	369	1927
161	370	1918
162	371	1909
163	373	1901
164	374	1893
165	375	1884
166	376	1876
167	377	1868
168	378	1860
169	379	1853
170	380	1845
171	381	1837
172	382	1830
173	387	1841
174	388	1833
175	391	1830
176	392	1823
177	393	1817
178	394	1810
179	395	1803
180	396	1793
181	397	1786
182	398	1779
183	399	1772
184	400	1765
185	405	1776
186	406	1769
187	408	1764
188	409	1757
189	410	1750
190	411	1743
191	412	1736
192	413	1730
193	414	1724
194	416	1717
195	417	1711
196	418	1704
197	419	1698
198	420	1691
199	421	1685
200	426	1695
201	427	1688
202	428	1682
203	429	1676
204	430	1670
205	431	1664
206	432	1658
207	433	1652
208	434	1646
209	436	1640
210	437	1634
211	438	1628
212	439	1622
213	440	1616
214	441	1611
215	442	1605
216	443	1600
217	444	1594
218	445	1589
219	447	1585
220	448	1579
221	449	1574
222	450	1569
223	451	1564
224	452	1558
225	453	1553
226	454	1548
227	455	1543
228	457	1538
229	458	1533
230	469	1563
231	470	1558
232	471	1553
233	473	1550
234	475	1546
235	476	1541
236	477	1536
237	478	1531
238	480	1528
239	481	1524
240	482	1519
241	483	1514
242	487	1519
243	488	1514
244	489	1509
245	490	1504
246	493	1504
247	494	1499
248	495	1494
249	496	1489
250	497	1484
251	500	1485
252	501	1480
253	507	1491
254	508	1486
255	509	1481
256	515	1489
257	516	1484
258	517	1479
259	518	1475
260	527	1493
261	528	1488
262	529	1483
263	530	1479
264	533	1478
265	534	1474
266	535	1469
267	536	1465
268	537	1460
269	538	1456
270	539	1451
271	540	1447
272	541	1442
273	542	1438
274	543	1434
275	544	1429
276	547	1428
277	548	1424
278	549	1420
279	550	1416
280	551	1411
281	552	1407
282	553	1403
283	554	1398
284	559	1404
285	560	1400
286	564	1402
287	565	1398
288	566	1394
289	568	1391
290	569	1387
291	570	1383
292	571	1379
293	572	1375
294	573	1371
295	575	1367
296	576	1363
297	577	1359
298	578	1355
299	579	1351
300	580	1347
301	581	1343
302	582	1339
303	583	1335
304	584	1332
305	585	1328
306	586	1324
307	588	1321
308	592	1325
309	593	1321
310	594	1318
311	596	1314
312	597	1310
313	598	1306
314	599	1303
315	600	1299
316	601	1295
317	602	1292
318	603	1288
319	604	1284
320	605	1281
321	606	1277
322	607	1274
323	613	1280
324	614	1277
325	616	1273
326	617	1270
327	623	1277
328	624	1274
329	625	1270
330	626	1266
331	628	1264
332	629	1260
333	653	1302
334	657	1306
335	659	1302
336	660	1298
337	661	1295
338	662	1291
339	663	1287
340	664	1284
341	665	1280
342	666	1277
343	667	1273
344	668	1269
345	670	1266
346	672	1266
347	673	1262
348	674	1258
349	675	1255
350	676	1251
351	678	1248
352	679	1244
353	680	1241
354	681	1238
355	682	1234
356	684	1232
357	685	1228
358	686	1225
359	687	1221
360	688	1218
361	691	1219
362	692	1216
363	694	1212
364	695	1209
365	696	1205
366	697	1202
367	703	1207
368	704	1204
369	705	1201
370	706	1197
371	707	1194
372	709	1193
373	710	1189
374	712	1186
375	713	1183
376	714	1180
377	715	1177
378	716	1173
379	717	1170
380	718	1167
381	719	1164
382	720	1161
383	721	1158
384	723	1154
385	724	1151
386	725	1148
387	726	1145
388	727	1142
389	728	1139
390	729	1136
391	734	1139
392	735	1136
393	736	1133
394	737	1129
395	738	1126
396	739	1123
397	740	1120
398	742	1117
399	743	1114
400	744	1111
401	749	1115
402	751	1112
403	752	1109
404	757	1112
405	758	1109
406	759	1106
407	760	1103
408	767	1108
409	768	1105
410	769	1102
411	770	1099
412	772	1097
413	773	1094
414	774	1092
415	775	1089
416	776	1086
417	777	1083
418	780	1082
419	781	1079
420	783	1078
421	784	1075
422	786	1072
423	787	1069
424	788	1067
425	790	1064
426	791	1061
427	792	1058
428	793	1056
429	794	1053
430	796	1051
431	797	1049
432	823	1078
433	824	1075
434	825	1072
435	826	1069
436	827	1066
437	828	1063
438	830	1060
439	831	1057
440	832	1054
441	833	1052
442	834	1049
443	836	1047
444	837	1044
445	838	1041
446	839	1038
447	840	1035
448	843	1035
449	844	1032
450	845	1029
451	846	1026
452	847	1023
453	853	1026
454	854	1023
455	855	1020
456	856	1017
457	857	1014
458	858	1011
459	866	1016
460	867	1014
461	868	1011
462	869	1008
463	876	1012
464	877	1009
465	878	1006
466	879	1004
467	888	1009
468	889	1007
469	890	1004
470	891	1001
471	895	1001
472	896	998
473	897	995
474	898	992
475	899	990
476	900	987
477	901	984
478	902	981
479	903	979
480	904	976
481	905	973
482	911	975
483	912	973
484	913	970
485	917	970
486	918	967
487	919	965
488	920	962
489	922	959
490	923	957
491	924	954
492	925	951
493	928	951
494	930	949
495	931	946
496	932	944
497	934	941
498	935	938
499	936	936
500	937	934
501	942	935
502	943	932
503	944	929
504	946	927
505	947	924
506	948	922
507	949	920
508	950	917
509	952	914
510	953	912
511	954	909
512	955	907
513	956	904
514	957	902
515	958	899
516	960	896
517	961	894
518	962	891
519	965	891
520	967	889
521	968	886
522	969	884
523	970	881
524	971	878
525	972	876
526	973	873
527	974	871
528	975	868
529	976	866
530	977	863
531	978	861
532	979	858
533	981	856
534	982	853
535	986	853
536	987	851
537	988	848
538	989	846
539	990	843
540	996	845
541	997	842
542	998	840
543	999	837
544	1000	835
545	1001	832
546	1002	830
547	1003	827
548	1004	825
549	1005	822
550	1006	820
551	1007	818
552	1008	815
553	1010	813
554	1011	810
555	1016	811
556	1017	809
557	1018	807
558	1019	804
559	1020	802
560	1024	801
561	1026	799
562	1027	797
563	1028	794
564	1029	792
565	1030	789
566	1036	791
567	1037	788
568	1038	786
569	1039	784
570	1040	781
571	1045	782
572	1047	780
573	1048	777
574	1049	775
575	1050	773
576	1051	770
577	1052	768
578	1053	766
579	1054	763
580	1055	761
581	1056	758
582	1060	758
583	1061	756
584	1062	753
585	1063	751
586	1078	759
587	1079	756
588	1080	754
589	1082	751
590	1083	749
591	1084	747
592	1085	744
593	1086	742
594	1087	740
595	1088	738
596	1089	735
597	1090	733
598	1091	731
599	1093	728
600	1094	726
601	1095	724
602	1100	724
603	1101	722
604	1102	720
605	1103	717
606	1104	715
607	1105	713
608	1107	710
609	1108	708
610	1109	706
611	1110	703
